Beta	T	Tp	Tpp	S	Sp	Spp
Beta	T	Tp	Tpp	S	Sp	Spp
0.65	  0.445230	  0.085286	  -0.005943	  0.0	  -0.024373	  -0.000882
0.66	  0.455524	  0.086144	  -0.005718	  0.0	  -0.024281	  -0.000673
0.67	  0.465608	  0.086945	  -0.005486	  0.0	  -0.024182	  -0.000465
0.68	  0.475483	  0.087692	  -0.005248	  0.0	  -0.024074	  -0.000258
0.69	  0.485151	  0.088387	  -0.005003	  0.0	  -0.023958	  -0.000052
0.70	  0.494614	  0.089032	  -0.004753	  0.0	  -0.023835	   0.000152
0.71	  0.503875	  0.089629	  -0.004498	  0.0	  -0.023705	   0.000355
0.72	  0.512936	  0.090180	  -0.004238	  0.0	  -0.023568	   0.000556
0.73	  0.521801	  0.090687	  -0.003974	  0.0	  -0.023425	   0.000755
0.74	  0.530473	  0.091153	  -0.003706	  0.0	  -0.023277	   0.000951
0.75	  0.538955	  0.091578	  -0.003434	  0.0	  -0.023123	   0.001145
0.76	  0.547250	  0.091964	  -0.003160	  0.0	  -0.022964	   0.001336
0.77	  0.555363	  0.092314	  -0.002882	  0.0	  -0.022800	   0.001525
