Beta	T	Tp	Tpp	S	Sp	Spp
Beta	T	Tp	Tpp	S	Sp	Spp
0.65	  0.668654	  0.091099	  0.006012	  0.0	  -1.0E-06	  0.0
0.66	  0.677299	  0.089139	  0.006149	  0.0	  -1.0E-06	  0.0
0.67	  0.685631	  0.087227	  0.006265	  0.0	  -1.0E-06	  0.0
0.68	  0.693663	  0.085360	  0.006362	  0.0	  -1.0E-06	  0.0
0.69	  0.701409	  0.083540	  0.006442	  0.0	  -1.0E-06	  0.0
0.70	  0.708882	  0.081765	  0.006507	  0.0	  -1.0E-06	  0.0
0.71	  0.716092	  0.080036	  0.006557	  0.0	  -1.0E-06	  0.0
0.72	  0.723051	  0.078350	  0.006595	  0.0	  -1.0E-06	  0.0
0.73	  0.729770	  0.076708	  0.006622	  0.0	  -1.0E-06	  0.0
0.74	  0.736259	  0.075108	  0.006638	  0.0	  -1.0E-06	  0.0
0.75	  0.742528	  0.073550	  0.006645	  0.0	  -1.0E-06	  0.0
0.76	  0.748586	  0.072033	  0.006644	  0.0	  -1.0E-06	  0.0
0.77	  0.754441	  0.070556	  0.006635	  0.0	  -1.0E-06	  0.0
