Program WSFPLOT  7.17  released 1-13-2006 

SF.INI file: D:\PC\DailyReport\python-code\LANL\Examples\Electrostatic\ChargeDensity\SF.INI  1-25-2021   0:46:16
Reading file D:\PC\DAILYREPORT\PYTHON-CODE\LANL\EXAMPLES\ELECTROSTATIC\CHARGEDENSITY\C4QPNT.T35.
 
 Problem description:
 Electrostatic problem with charge on a point-region - 4 quadrants
 Line charge has equivalent charge/cm as files C4q.am and C1q.am
 Problem file: E:\nakai\Daily\python-code\LANL\Examples\Electrostatic\ChargeDensity\C4QPNT.AM  1-07-2021   8:51:14
 Problem file length:         887 bytes
 Originating program: Automesh    Problem type: Electrostatic
Plotted potential values:
Contour 1, V  =  1.16999E+03 V
 Contour coordinates:
     X (cm)         Y (cm)
  -0.452559      -3.21987    
  -0.447755      -3.22053    
  -0.413747      -3.22510    
  -0.402822      -3.22647    
  -0.374705      -3.22988    
  -0.358300      -3.23172    
  -0.335430      -3.23420    
  -0.314175      -3.23631    
  -0.295917      -3.23805    
  -0.270434      -3.24026    
  -0.256161      -3.24143    
  -0.227063      -3.24358    
  -0.216155      -3.24434    
  -0.184049      -3.24630    
  -0.175891      -3.24676    
  -0.141377      -3.24844    
  -0.135363      -3.24870    
  -9.903522E-02  -3.25000    
  -9.455965E-02  -3.25014    
  -5.701005E-02  -3.25101    
  -5.347229E-02  -3.25107    
  -1.528933E-02  -3.25147    
  -1.208980E-02  -3.25149    
   2.613875E-02  -3.25141    
   2.959936E-02  -3.25137    
   6.728533E-02  -3.25082    
   7.160729E-02  -3.25072    
   0.108161      -3.24972    
   0.113946      -3.24952    
   0.148775      -3.24812    
   0.156630      -3.24774    
   0.189136      -3.24602    
   0.199671      -3.24538    
   0.229252      -3.24344    
   0.243083      -3.24242    
   0.269130      -3.24038    
   0.286881      -3.23884    
   0.308775      -3.23685    
   0.331077      -3.23462    
   0.348192      -3.23284    
   0.375685      -3.22974    
   0.387386      -3.22837    
   0.420719      -3.22417    
   0.426360      -3.22344    
   0.458926      -3.21891    
   0.465120      -3.21806    
   0.466191      -3.21790    
   0.503688      -3.21228    
   0.512104      -3.21092    
   0.542045      -3.20604    
   0.558486      -3.20318    
   0.580190      -3.19936    
   0.605352      -3.19466    
   0.618125      -3.19224    
   0.652718      -3.18531    
   0.655848      -3.18468    
   0.667232      -3.18225    
   0.693389      -3.17673    
   0.700586      -3.17513    
   0.730731      -3.16837    
   0.748981      -3.16406    
   0.767862      -3.15958    
   0.797926      -3.15207    
   0.804777      -3.15035    
   0.824484      -3.14516    
   0.841501      -3.14074    
   0.847431      -3.13912    
   0.878039      -3.13075    
   0.897515      -3.12517    
   0.914356      -3.12034    
   0.948204      -3.11016    
   0.950449      -3.10949    
   0.955711      -3.10784    
   0.986375      -3.09832    
   0.999515      -3.09405    
    1.02208      -3.08673    
    1.05147      -3.07678    
    1.05756      -3.07473    
    1.06999      -3.07034    
    1.09285      -3.06238    
    1.10411      -3.05828    
    1.12793      -3.04965    
    1.15744      -3.03850    
    1.16277      -3.03650    
    1.17233      -3.03275    
    1.19743      -3.02302    
    1.21152      -3.01734    
    1.23187      -3.00917    
    1.26553      -2.99510    
    1.26605      -2.99489    
    1.26636      -2.99475    
    1.30007      -2.98034    
    1.32203      -2.97058    
    1.33383      -2.96536    
    1.35114      -2.95742    
    1.36737      -2.95004    
    1.37856      -2.94477    
    1.40071      -2.93438    
    1.43079      -2.91975    
    1.43377      -2.91831    
    1.43600      -2.91720    
    1.46667      -2.90198    
    1.49444      -2.88769    
    1.49928      -2.88522    
    1.50514      -2.88212    
    1.53171      -2.86818    
    1.55397      -2.85609    
    1.56386      -2.85075    
    1.57497      -2.84454    
    1.59580      -2.83301    
    1.61465      -2.82221    
    1.62749      -2.81491    
    1.64086      -2.80705    
    1.65895      -2.79650    
    1.67663      -2.78584    
    1.69016      -2.77774    
    1.70323      -2.76965    
    1.72114      -2.75866    
    1.74003      -2.74668    
