Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: E:\LANL\SF7.EXE
SF.INI file: E:\nakai\LANL-PoissonSuperfish\Examples\Electrostatic\CoaxCylinder\SF.INI  8-04-2020  11:52:20
Solution file E:\nakai\LANL-PoissonSuperfish\Examples\Electrostatic\CoaxCylinder\COAXTEST.T35.
Memory used for COAXTEST.T35 arrays:     146.068 K
Obtaining filename or plot type and data from SF7 pop-up menu.

Electric fields for a rectangular area with corners at:
(Rmin,Zmin) = (0.0,0.0)
(Rmax,Zmax) = (5,5)
R and Z increments:   100   100

      R             Z              Er            Ez            |E|           V 
    (cm)          (cm)           (V/cm)        (V/cm)        (V/cm)         (V)  
   0.00000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  5.000000E-02   0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.100000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.150000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.200000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.250000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.300000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.350000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.400000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.450000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.500000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.550000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.600000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.650000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.700000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.750000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
