   K    L     X             Y               Ex            Ey            |E|            V      Chi^2/d.f. Fn
            (cm)          (cm)            (V/cm)        (V/cm)        (V/cm)          (V)  
   1    1   0.00000       0.00000      0.000000E+00 -3.002588E+04  3.002588E+04  0.000000E+00  5.41E-08  24
   2    1  0.200000       0.00000      0.000000E+00 -3.004426E+04  3.004426E+04  0.000000E+00  7.55E-08  24
   3    1  0.400000       0.00000      0.000000E+00 -3.009333E+04  3.009333E+04  0.000000E+00  1.32E-07  24
   4    1  0.600000       0.00000      0.000000E+00 -3.009824E+04  3.009824E+04  0.000000E+00  2.61E-06  23
   5    1  0.800000       0.00000      0.000000E+00 -3.018225E+04  3.018225E+04  0.000000E+00  8.94E-06  23
   6    1   1.00000       0.00000      0.000000E+00 -3.034156E+04  3.034156E+04  0.000000E+00  2.95E-05  23
   7    1   1.20000       0.00000      0.000000E+00 -3.064276E+04  3.064276E+04  0.000000E+00  9.19E-05  23
   8    1   1.40000       0.00000      0.000000E+00 -3.121220E+04  3.121220E+04  0.000000E+00  2.63E-04  23
   9    1   1.60000       0.00000      0.000000E+00 -3.228235E+04  3.228235E+04  0.000000E+00  6.70E-04  23
  10    1   1.80000       0.00000      0.000000E+00 -3.423999E+04  3.423999E+04  0.000000E+00  1.58E-03  23
  11    1   2.00000       0.00000      0.000000E+00 -3.759910E+04  3.759910E+04  0.000000E+00  4.16E-03  23
  12    1   2.20000       0.00000      0.000000E+00 -4.235865E+04  4.235865E+04  0.000000E+00  1.55E-02  23
  13    1   2.40000       0.00000      0.000000E+00 -5.264785E+04  5.264785E+04  0.000000E+00  1.37E-01  23
  14    1   2.60000       0.00000      0.000000E+00 -6.613046E+04  6.613046E+04  0.000000E+00  2.99E-01  23
  15    1   2.80000       0.00000      0.000000E+00 -6.966772E+04  6.966772E+04  0.000000E+00  3.09E-01  23
  16    1   3.00000       0.00000      0.000000E+00  9.335052E+03  9.335052E+03  3.000000E+04  1.44E+00  23
  17    1   3.20000       0.00000      0.000000E+00 -4.212555E+04  4.212555E+04  0.000000E+00  4.13E-01  23
  18    1   3.40000       0.00000      0.000000E+00 -2.946785E+04  2.946785E+04  0.000000E+00  2.51E-01  23
  19    1   3.60000       0.00000      0.000000E+00 -2.558386E+04  2.558386E+04  0.000000E+00  8.55E-02  23
  20    1   3.80000       0.00000      0.000000E+00 -2.387268E+04  2.387268E+04  0.000000E+00  1.03E-02  23
  21    1   4.00000       0.00000      0.000000E+00 -2.204457E+04  2.204457E+04  0.000000E+00  1.99E-03  23
  22    1   4.20000       0.00000      0.000000E+00 -2.058110E+04  2.058110E+04  0.000000E+00  5.01E-04  23
  23    1   4.40000       0.00000      0.000000E+00 -1.939932E+04  1.939932E+04  0.000000E+00  1.48E-04  23
  24    1   4.60000       0.00000      0.000000E+00 -1.840435E+04  1.840435E+04  0.000000E+00  4.98E-05  23
  25    1   4.80000       0.00000      0.000000E+00 -1.753441E+04  1.753441E+04  0.000000E+00  1.91E-05  23
  26    1   5.00000       0.00000      0.000000E+00 -1.675177E+04  1.675177E+04  0.000000E+00  8.44E-06  23
  27    1   5.20000       0.00000      0.000000E+00 -1.603320E+04  1.603320E+04  0.000000E+00  4.27E-06  23
  28    1   5.40000       0.00000      0.000000E+00 -1.536390E+04  1.536390E+04  0.000000E+00  2.48E-06  23
  29    1   5.60000       0.00000      0.000000E+00 -1.473426E+04  1.473426E+04  0.000000E+00  1.63E-06  23
  30    1   5.80000       0.00000      0.000000E+00 -1.413789E+04  1.413789E+04  0.000000E+00  1.20E-06  23
  31    1   6.00000       0.00000      0.000000E+00 -1.357057E+04  1.357057E+04  0.000000E+00  9.83E-07  23
  32    1   6.20000       0.00000      0.000000E+00 -1.302948E+04  1.302948E+04  0.000000E+00  8.79E-07  23
  33    1   6.40000       0.00000      0.000000E+00 -1.251288E+04  1.251288E+04  0.000000E+00  8.46E-07  23
  34    1   6.60000       0.00000      0.000000E+00 -1.201978E+04  1.201978E+04  0.000000E+00  8.65E-07  23
  35    1   6.80000       0.00000      0.000000E+00 -1.154981E+04  1.154981E+04  0.000000E+00  9.24E-07  23
  36    1   7.00000       0.00000      0.000000E+00 -1.110299E+04  1.110299E+04  0.000000E+00  1.02E-06  23
  37    1   7.20000       0.00000      0.000000E+00 -1.067970E+04  1.067970E+04  0.000000E+00  1.15E-06  23
  38    1   7.40000       0.00000      0.000000E+00 -1.028052E+04  1.028052E+04  0.000000E+00  1.31E-06  23
  39    1   7.60000       0.00000      0.000000E+00 -9.906209E+03  9.906209E+03  0.000000E+00  1.50E-06  23
  40    1   7.80000       0.00000      0.000000E+00 -9.557622E+03  9.557622E+03  0.000000E+00  1.72E-06  23
  41    1   8.00000       0.00000      0.000000E+00 -9.235660E+03  9.235660E+03  0.000000E+00  1.96E-06  23
  42    1   8.20000       0.00000      0.000000E+00 -8.941225E+03  8.941225E+03  0.000000E+00  2.22E-06  23
  43    1   8.40000       0.00000      0.000000E+00 -8.675187E+03  8.675187E+03  0.000000E+00  2.49E-06  23
  44    1   8.60000       0.00000      0.000000E+00 -8.438385E+03  8.438385E+03  0.000000E+00  2.76E-06  23
  45    1   8.80000       0.00000      0.000000E+00 -8.231561E+03  8.231561E+03  0.000000E+00  3.02E-06  23
  46    1   9.00000       0.00000      0.000000E+00 -8.055403E+03  8.055403E+03  0.000000E+00  3.27E-06  23
  47    1   9.20000       0.00000      0.000000E+00 -7.910465E+03  7.910465E+03  0.000000E+00  3.47E-06  23
  48    1   9.40000       0.00000      0.000000E+00 -7.814657E+03  7.814657E+03  0.000000E+00  1.74E-06  24
  49    1   9.60000       0.00000      0.000000E+00 -7.729738E+03  7.729738E+03  0.000000E+00  4.59E-06  24
  50    1   9.80000       0.00000      0.000000E+00 -7.662200E+03  7.662200E+03  0.000000E+00  7.19E-06  24
  51    1   10.0000       0.00000      0.000000E+00 -7.651562E+03  7.651562E+03  0.000000E+00  2.13E-05  24
