Center
Title
Fish frequency scan from run on file E:\nakai\Daily\python-code\LANL\Examples\RadioFrequency\FrequencyScan\SCAN.AM
SubTitle
Problem title line 1: On-Axis Coupled Cavity, Frequency scan over 100 MHz

RightFooter
Drive K,L =   6,  47  Bounds (UpLoRtLf) = 1011


Markersize -0.4
Abscissa 1
Ordinate 3

Titles
Frequency
k^2
D(k^2)
dH1
EndTitles

AxisLabels
Frequency (MHz)
k^2
D(k^2)
dH1
EndLabels

CurveLabels
freq
k^2
D(k^2)
dH1
EndLabels

;Frequency        k^2            D(k^2)         dH1
Data
  7.5000000E+02  2.4708186E-02  1.0105470E-03  3.1180775E-02
  7.5125000E+02  2.4790615E-02  9.0400863E-04  2.8605221E-02
  7.5250000E+02  2.4873182E-02  7.9935059E-04  2.5958555E-02
  7.5375000E+02  2.4955885E-02  6.9664452E-04  2.3236700E-02
  7.5500000E+02  2.5038726E-02  5.9596775E-04  2.0435200E-02
  7.5625000E+02  2.5121705E-02  4.9740382E-04  1.7549170E-02
  7.5750000E+02  2.5204820E-02  4.0104303E-04  1.4573244E-02
  7.5875000E+02  2.5288073E-02  3.0698311E-04  1.1501508E-02
  7.6000000E+02  2.5371463E-02  2.1532979E-04  8.3274223E-03
  7.6125000E+02  2.5454991E-02  1.2619761E-04  5.0437353E-03
  7.6250000E+02  2.5538655E-02  3.9710603E-05  1.6423743E-03
  7.6375000E+02  2.5622457E-02 -4.3996877E-05 -1.8856783E-03
  7.6500000E+02  2.5706396E-02 -1.2477931E-04 -5.5505350E-03
  7.6625000E+02  2.5790473E-02 -2.0247914E-04 -9.3635827E-03
  7.6750000E+02  2.5874687E-02 -2.7692590E-04 -1.3337699E-02
  7.6875000E+02  2.5959038E-02 -3.4793533E-04 -1.7487515E-02
  7.7000000E+02  2.6043526E-02 -4.1530848E-04 -2.1829735E-02
  7.7125000E+02  2.6128151E-02 -4.7883096E-04 -2.6383533E-02
  7.7250000E+02  2.6212914E-02 -5.3827220E-04 -3.1171041E-02
  7.7375000E+02  2.6297814E-02 -5.9338495E-04 -3.6217956E-02
  7.7500000E+02  2.6382852E-02 -6.4390498E-04 -4.1554316E-02
  7.7625000E+02  2.6468026E-02 -6.8955110E-04 -4.7215474E-02
  7.7750000E+02  2.6553338E-02 -7.3002573E-04 -5.3243358E-02
  7.7875000E+02  2.6638787E-02 -7.6501596E-04 -5.9688106E-02
  7.8000000E+02  2.6724374E-02 -7.9419550E-04 -6.6610216E-02
  7.8125000E+02  2.6810097E-02 -8.1722757E-04 -7.4083413E-02
  7.8250000E+02  2.6895958E-02 -8.3376915E-04 -8.2198523E-02
  7.8375000E+02  2.6981957E-02 -8.4347669E-04 -9.1068800E-02
  7.8500000E+02  2.7068092E-02 -8.4601375E-04 -1.0083738E-01
  7.8625000E+02  2.7154365E-02 -8.4106092E-04 -1.1168793E-01
  7.8750000E+02  2.7240775E-02 -8.2832818E-04 -1.2386019E-01
  7.8875000E+02  2.7327322E-02 -8.0757022E-04 -1.3767328E-01
  7.9000000E+02  2.7414007E-02 -7.7860478E-04 -1.5356171E-01
  7.9125000E+02  2.7500828E-02 -7.4133413E-04 -1.7213297E-01
  7.9250000E+02  2.7587788E-02 -6.9576942E-04 -1.9426332E-01
  7.9375000E+02  2.7674884E-02 -6.4205752E-04 -2.2126545E-01
  7.9500000E+02  2.7762118E-02 -5.8050910E-04 -2.5519930E-01
  7.9625000E+02  2.7849488E-02 -5.1162666E-04 -2.9949286E-01
  7.9750000E+02  2.7936997E-02 -4.3613019E-04 -3.6030511E-01
  7.9875000E+02  2.8024642E-02 -3.5497766E-04 -4.4992426E-01
  8.0000000E+02  2.8112425E-02 -2.6937715E-04 -5.9692097E-01
  8.0125000E+02  2.8200345E-02 -1.8078699E-04 -8.8648589E-01
  8.0250000E+02  2.8288402E-02 -9.0900610E-05 -1.7384482E+00
  8.0375000E+02  2.8376596E-02 -1.6135098E-06 -9.5463762E+01
  8.0500000E+02  2.8464928E-02  8.5028866E-05  1.7439594E+00
  8.0625000E+02  2.8553397E-02  1.6690150E-04  8.4394129E-01
  8.0750000E+02  2.8642003E-02  2.4188516E-04  5.4514364E-01
  8.0875000E+02  2.8730747E-02  3.0796108E-04  3.9451786E-01
  8.1000000E+02  2.8819628E-02  3.6330707E-04  3.0278143E-01
  8.1125000E+02  2.8908646E-02  4.0638647E-04  2.4035324E-01
  8.1250000E+02  2.8997801E-02  4.3602108E-04  1.9459803E-01
  8.1375000E+02  2.9087094E-02  4.5144114E-04  1.5921082E-01
  8.1500000E+02  2.9176524E-02  4.5230798E-04  1.3069290E-01
  8.1625000E+02  2.9266091E-02  4.3870832E-04  1.0694599E-01
  8.1750000E+02  2.9355795E-02  4.1112250E-04  8.6634554E-02
  8.1875000E+02  2.9445637E-02  3.7037187E-04  6.8867391E-02
  8.2000000E+02  2.9535616E-02  3.1755189E-04  5.3026425E-02
  8.2125000E+02  2.9625732E-02  2.5395841E-04  3.8668935E-02
  8.2250000E+02  2.9715986E-02  1.8101387E-04  2.5468942E-02
  8.2375000E+02  2.9806377E-02  1.0019885E-04  1.3180591E-02
  8.2500000E+02  2.9896905E-02  1.2992920E-05  1.6144682E-03
  8.2625000E+02  2.9987570E-02 -7.9173251E-05 -9.3781914E-03
  8.2750000E+02  3.0078373E-02 -1.7495377E-04 -1.9916309E-02
  8.2875000E+02  3.0169313E-02 -2.7311207E-04 -3.0096533E-02
  8.3000000E+02  3.0260390E-02 -3.7253533E-04 -3.9998652E-02
  8.3125000E+02  3.0351604E-02 -4.7224065E-04 -4.9689537E-02
  8.3250000E+02  3.0442956E-02 -5.7137460E-04 -5.9226072E-02
  8.3375000E+02  3.0534445E-02 -6.6920810E-04 -6.8657350E-02
  8.3500000E+02  3.0626071E-02 -7.6512806E-04 -7.8026360E-02
  8.3625000E+02  3.0717834E-02 -8.5862711E-04 -8.7371294E-02
  8.3750000E+02  3.0809735E-02 -9.4929236E-04 -9.6726573E-02
  8.3875000E+02  3.0901773E-02 -1.0367940E-03 -1.0612367E-01
  8.4000000E+02  3.0993948E-02 -1.1208743E-03 -1.1559178E-01
  8.4125000E+02  3.1086261E-02 -1.2013372E-03 -1.2515835E-01
  8.4250000E+02  3.1178711E-02 -1.2780386E-03 -1.3484954E-01
  8.4375000E+02  3.1271298E-02 -1.3508784E-03 -1.4469065E-01
  8.4500000E+02  3.1364022E-02 -1.4197923E-03 -1.5470638E-01
  8.4625000E+02  3.1456884E-02 -1.4847459E-03 -1.6492123E-01
  8.4750000E+02  3.1549882E-02 -1.5457284E-03 -1.7535966E-01
  8.4875000E+02  3.1643019E-02 -1.6027485E-03 -1.8604643E-01
  8.5000000E+02  3.1736292E-02 -1.6558298E-03 -1.9700680E-01
EndData
EndFile
