Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: E:\LANL\SF7.EXE
SF.INI file: E:\nakai\LANL-PoissonSuperfish\Examples\RadioFrequency\QuarterWaveResonator\SF.INI  8-04-2020  11:53:34
Solution file E:\nakai\LANL-PoissonSuperfish\Examples\RadioFrequency\QuarterWaveResonator\QWAVE.T35.
Memory used for QWAVE.T35 arrays:     601.120 K
Obtaining filename or plot type and data from SF7 pop-up menu.

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (0.0,0.0)
(Zmax,Rmax) = (71.6,7.95)
Z and R increments:   100   100

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   0.00000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.716000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.43200       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.14800       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.86400       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.58000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   4.29600       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   5.01200       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   5.72800       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   6.44400       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   7.16000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   7.87600       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   8.59200       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   9.30800       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   10.0240       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   10.7400       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   11.4560       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   12.1720       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   12.8880       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   13.6040       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   14.3200       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   15.0360       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   15.7520       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   16.4680       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   17.1840       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   17.9000       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   18.6160       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   19.3320       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   20.0480       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   20.7640       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   21.4800       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   22.1960       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   22.9120       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   23.6280       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
